piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1274/1,1,6,2,2016-02-01,2017-02-01,13,2016-03-01,-1.4121875789061642,-17.372631435675743,17.372631435675743,-1.3363562642827493,2017-12-01,21,True
II/1274/1,1,6,3,2017-06-01,2017-11-01,6,2017-08-01,-1.351702239930661,-6.6697462499760904,6.6697462499760904,-1.111624374996015,2017-12-01,4,True
II/1274/1,1,6,4,2023-04-01,2023-05-01,2,2023-04-01,-1.0853249080767589,-2.13445630604073,2.13445630604073,-1.067228153020365,,,False
II/1274/1,1,6,5,2023-12-01,2023-12-01,1,2023-12-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,,,False
II/1274/1,1,6,6,2024-03-01,2024-03-01,1,2024-03-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,,,False
II/1274/1,1,12,1,2014-02-01,2015-07-01,18,2014-06-01,-1.88950996033343,-30.421292686079532,30.421292686079532,-1.6900718158933072,2015-09-01,15,True
II/1274/1,1,12,2,2016-08-01,2018-01-01,18,2016-09-01,-1.351702239930661,-20.96321982840392,20.96321982840392,-1.1646233238002177,2018-06-01,21,True
II/1274/2,1,3,1,2015-11-01,2017-03-01,17,2016-03-01,-1.731664396122245,-26.53171965534698,26.53171965534698,-1.5606893914909987,2017-09-01,18,True
II/1274/2,1,3,2,2020-04-01,2020-10-01,7,2020-04-01,-1.1503493803760079,-8.052445662632056,8.052445662632056,-1.150349380376008,2021-02-01,10,True
II/1274/2,1,6,1,2016-01-01,2017-05-01,17,2016-04-01,-1.731664396122245,-26.408591355734938,26.408591355734938,-1.5534465503373494,2017-10-01,18,True
II/1274/2,1,6,2,2020-06-01,2020-12-01,7,2020-09-01,-1.1503493803760079,-7.891808207784573,7.891808207784573,-1.1274011725406532,2021-04-01,7,True
II/1274/2,1,12,1,2016-04-01,2017-08-01,17,2017-03-01,-1.731664396122245,-26.00169730166337,26.00169730166337,-1.5295116059801983,2017-11-01,8,True
II/1274/2,1,12,2,2020-09-01,2021-03-01,7,2021-03-01,-1.1503493803760079,-7.731170752937089,7.731170752937089,-1.1044529647052985,,,False
II/1275/1,2,3,1,2014-01-01,2014-05-01,5,2014-01-01,-1.9379315108528288,-9.14048793652021,9.14048793652021,-1.828097587304042,2014-06-01,5,True
II/1275/1,2,3,2,2014-12-01,2014-12-01,1,2014-12-01,-1.11895838106256,-1.11895838106256,1.11895838106256,-1.11895838106256,2015-01-01,1,True
II/1275/1,2,3,3,2015-07-01,2015-08-01,2,2015-07-01,-1.0853249080767589,-2.1706498161535177,2.1706498161535177,-1.0853249080767589,2016-08-01,13,True
II/1275/1,2,3,4,2015-11-01,2016-06-01,8,2015-11-01,-1.9379315108528288,-11.649196498112094,11.649196498112094,-1.4561495622640117,2016-08-01,9,True
II/1275/1,2,3,5,2018-01-01,2018-04-01,4,2018-02-01,-1.9379315108528288,-6.174494247571322,6.174494247571322,-1.5436235618928305,2018-05-01,3,True
II/1275/1,2,3,6,2019-06-01,2019-11-01,6,2019-09-01,-1.9379315108528288,-9.909157960956092,9.909157960956092,-1.6515263268260154,2020-09-01,12,True
II/1275/1,2,3,7,2020-05-01,2020-06-01,2,2020-06-01,-1.382994127100638,-2.468319035177397,2.468319035177397,-1.2341595175886986,2020-09-01,3,True
II/1275/1,2,3,8,2022-07-01,2022-12-01,6,2022-09-01,-1.4121875789061642,-8.121509371982329,8.121509371982329,-1.3535848953303882,2023-04-01,7,True
II/1275/1,2,3,9,2023-09-01,2023-10-01,2,2023-10-01,-1.4121875789061642,-2.5311459599687245,2.5311459599687245,-1.2655729799843622,2023-12-01,2,True
