date,piezometer_id,groundwater_level_m,cluster_id
2016-12-01,II/1285/1,88.85,1
2017-01-01,II/1285/1,88.86,1
2017-02-01,II/1285/1,88.91,1
2017-03-01,II/1285/1,88.9,1
2017-04-01,II/1285/1,88.89,1
2017-05-01,II/1285/1,88.88,1
2017-06-01,II/1285/1,88.84,1
2017-07-01,II/1285/1,88.82,1
2017-08-01,II/1285/1,88.76,1
2017-09-01,II/1285/1,88.8,1
2017-10-01,II/1285/1,88.85,1
2017-11-01,II/1285/1,88.86,1
2017-12-01,II/1285/1,88.88,1
2018-01-01,II/1285/1,88.86,1
2018-02-01,II/1285/1,88.89,1
2018-03-01,II/1285/1,89.03,1
2018-04-01,II/1285/1,89.02,1
2018-05-01,II/1285/1,88.97,1
2018-06-01,II/1285/1,89.01,1
2018-07-01,II/1285/1,88.97,1
2018-08-01,II/1285/1,88.97,1
2018-09-01,II/1285/1,88.92,1
2018-10-01,II/1285/1,88.94,1
2018-11-01,II/1285/1,88.92,1
2018-12-01,II/1285/1,88.96,1
2019-01-01,II/1285/1,88.94,1
2019-02-01,II/1285/1,88.85,1
2019-03-01,II/1285/1,88.93,1
2019-04-01,II/1285/1,88.83,1
2019-05-01,II/1285/1,88.82,1
2019-06-01,II/1285/1,88.75,1
2019-07-01,II/1285/1,88.76,1
2019-08-01,II/1285/1,88.71,1
2019-09-01,II/1285/1,88.74,1
2019-10-01,II/1285/1,88.69,1
2019-11-01,II/1285/1,88.72,1
2019-12-01,II/1285/1,88.68,1
2020-01-01,II/1285/1,88.61,1
2020-02-01,II/1285/1,88.71,1
2020-03-01,II/1285/1,88.6,1
2020-04-01,II/1285/1,88.58,1
2020-05-01,II/1285/1,88.59,1
2020-06-01,II/1285/1,88.57,1
2020-07-01,II/1285/1,88.53,1
2020-08-01,II/1285/1,88.53,1
2020-09-01,II/1285/1,88.5,1
2020-10-01,II/1285/1,88.51,1
2020-11-01,II/1285/1,88.47,1
2020-12-01,II/1285/1,88.4886956521739,1
2021-01-01,II/1285/1,88.48322580645161,1
2021-02-01,II/1285/1,88.42821428571429,1
2021-03-01,II/1285/1,88.46483870967742,1
2021-04-01,II/1285/1,88.47866666666667,1
2021-05-01,II/1285/1,88.49483870967742,1
2021-06-01,II/1285/1,88.449,1
2021-07-01,II/1285/1,88.45806451612903,1
2021-08-01,II/1285/1,88.4416129032258,1
2021-09-01,II/1285/1,88.42766666666667,1
2021-10-01,II/1285/1,88.44612903225806,1
2021-11-01,II/1285/1,88.469,1
2021-12-01,II/1285/1,88.45935483870969,1
2022-01-01,II/1285/1,88.44064516129032,1
