gwb_code,x_coord_2180,y_coord_2180
PLGW600043,430487.967,580014.3901
PLGW600043,430468.1232,580018.3589
PLGW600043,430453.042,580012.0089
PLGW600043,430454.6295,579996.9276
PLGW600043,430472.092,579983.4338
PLGW600043,430475.267,579958.8275
PLGW600043,430482.5157,579943.8124
PLGW600043,430486.3795,579935.8087
PLGW600043,430494.317,579888.9774
PLGW600043,430479.8508,579861.5675
PLGW600043,430479.2358,579860.4023
PLGW600043,430453.042,579830.2397
PLGW600043,430430.4624,579814.5446
PLGW600043,430456.0302,579800.4
PLGW600043,430467.9891,579779.8302
PLGW600043,430481.6418,579773.7623
PLGW600043,430486.7307,579771.5006
PLGW600043,430510.3313,579766.6416
PLGW600043,430556.1443,579768.724
PLGW600043,430606.1223,579773.583
PLGW600043,430638.0527,579786.7716
PLGW600043,430658.8767,579790.9364
PLGW600043,430688.7245,579788.854
PLGW600043,430713.7135,579779.8302
PLGW600043,430756.9183,579747.9752
PLGW600043,430794.2335,579725.6876
PLGW600043,430825.4697,579709.0282
PLGW600043,430852.5411,579707.64
PLGW600043,430878.2241,579715.9696
PLGW600043,430904.6013,579727.0758
PLGW600043,430913.7125,579728.898
PLGW600043,430932.3667,579732.6288
PLGW600043,430962.1309,579726.0214
PLGW600043,430984.4498,579719.6515
PLGW600043,430998.6237,579715.6062
PLGW600043,431037.1147,579710.1058
PLGW600043,431050.5801,579709.21
PLGW600043,431067.0295,579715.9696
PLGW600043,431075.3591,579731.2406
PLGW600043,431077.6785,579765.552
PLGW600043,431105.9011,579802.7368
PLGW600043,431129.5017,579821.4784
PLGW600043,431162.8203,579828.4198
PLGW600043,431189.6501,579829.86
PLGW600043,431212.1041,579838.1378
PLGW600043,431223.9045,579850.6322
PLGW600043,431230.7167,579863.2266
PLGW600043,431239.1755,579873.7122
PLGW600043,431250.1081,579878.9182
PLGW600043,431264.3625,579877.8714
PLGW600043,431276.3001,579880.13
PLGW600043,431285.0245,579891.2716
PLGW600043,431294.7867,579914.5148
PLGW600043,431300.7803,579936.35
PLGW600043,431299.5653,579955.9676
PLGW600043,431304.7101,579971.5
PLGW600043,431308.8145,579974.0532
PLGW600043,431314.5001,579977.59
PLGW600043,431324.2901,579981.03
PLGW600043,431335.0801,579980.87
PLGW600043,431368.9501,579973.99
PLGW600043,431382.7101,579962.35
PLGW600043,431387.2903,579944.8403
PLGW600043,431387.4701,579923.72
PLGW600043,431385.8801,579903.61
PLGW600043,431386.4101,579885.09
PLGW600043,431393.8201,579871.86
PLGW600043,431407.5801,579862.87
PLGW600043,431425.0401,579863.39
PLGW600043,431445.6801,579862.87
PLGW600043,431464.2001,579867.63
PLGW600043,431479.1604,579868.0982
PLGW600043,431515.0001,579869.22
PLGW600043,431561.0401,579870.8
PLGW600043,431597.5501,579870.27
PLGW600043,431612.3701,579865.51
PLGW600043,431616.2586,579858.7392
PLGW600043,431623.4601,579846.2
PLGW600043,431631.4001,579829.53
PLGW600043,431638.5401,579816.83
PLGW600043,431640.1301,579799.37
PLGW600043,431643.3101,579779.52
PLGW600043,431663.1501,579764.44
PLGW600043,431691.7301,579760.47
PLGW600043,431713.1601,579760.47
PLGW600043,431729.8301,579764.44
PLGW600043,431740.9401,579763.65
PLGW600043,431750.2001,579753.78
